SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
59,1,12,-3.923701,-4.218083,-0.7998947,-3.428207,-2.532607,-3.243527,-0.9052646,-3.794228,-3.380505,-4.56158,-4.257045,-1.059058,-0.5752883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5],[2_11],psucssa
60,1,12,-5.976814,-1.420269,-5.801162,-7.253771,-2.432533,-0.6128892,-4.812288,-2.672685,-2.187569,-4.044396,#NAME?,-3.135041,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5_10_11],[5_11],psucssa
61,1,12,-3.527254,-2.50674,-3.27993,-7.308639,-6.205063,-2.889594,-4.376752,-6.277613,-3.31,-1.978172,-0.2034476,-0.9609203,-0.6377512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6],[11],psucssa
62,1,8,-4.550694,-6.314919,-2.290351,-3.951589,-1.20412,-0.2688453,-6.300707,-1.169046,-0.4516741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[7],psucssa
63,1,6,-6.527233,-3.602861,-2.058042,-5.679917,-4.055674,-1.487233,-0.4600879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],[5],psucssa
64,1,19,-5.291057,-1.911512,-5.096498,-1.231957,-3.807274,-5.233372,-1.280355,-2.713267,-0.6465585,-2.655807,-5.408789,-3.341197,-5.932368,-4.407484,#NAME?,-4.681479,-3.744486,-3.459783,-0.96393,-0.3707161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],[8_14_16_18],psucssa
65,1,7,-4.002137,-3.688799,-0.8772827,-5.146537,-1.815511,-4.90574,-1.2272,-0.4745741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3],[6],psucssa
66,1,16,-7.042348,-2.356607,-2.770761,-1.1494,-3.307725,-1.908651,-3.479886,-2.636719,-2.471696,-1.077696,-4.745374,-5.675975,-3.614912,-1.997777,-5.641869,-1.119968,-0.5195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[11_12_13_14_15],[5_15],psucssa
67,1,7,-3.222314,-2.369772,-7.234301,-5.097632,-0.7960479,-5.906243,-4.78202,-2.941401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[4],psucssa
68,1,3,-6.258925,-1.014779,-4.642157,-3.698617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2],,psucssa
69,1,11,-4.159117,-3.414949,-2.846311,-0.9135835,-2.67592,-3.716029,-5.673309,-3.032765,-4.434278,-2.145304,-0.5762527,-0.4954101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[3_10],psucssa
70,1,7,-6.326181,-4.558235,-2.792797,-5.609555,-1.401696,-4.712181,-0.5282738,-0.391908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0_1],[6],psucssa
71,1,9,-5.073573,-1.430376,-4.721739,-1.781924,-0.523432,-3.542394,-5.204824,-3.42193,-2.547842,-0.6077942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[8],psucssa
