word,frequency
信息,2.002913328477786E-4
而且,2.002913328477786E-4
出,2.002913328477786E-4
距离,2.002913328477786E-4
很多,2.002913328477786E-4
其他,2.002913328477786E-4
希望,1.9422189851905802E-4
朋友,1.9422189851905802E-4
中,1.9422189851905802E-4
还有,1.9422189851905802E-4
地址,1.9422189851905802E-4
方式,1.9422189851905802E-4
电话,1.9422189851905802E-4
内,1.8815246419033745E-4
四,1.8815246419033745E-4
兴趣,1.8815246419033745E-4
包括,1.8815246419033745E-4
门口,1.8815246419033745E-4
bathroom,1.820830298616169E-4
买,1.820830298616169E-4
位置,1.820830298616169E-4
匹兹堡,1.820830298616169E-4
!,1.7601359553289634E-4
谢谢,1.7601359553289634E-4
男生,1.7601359553289634E-4
squirrel,1.7601359553289634E-4
crest,1.7601359553289634E-4
living,1.7601359553289634E-4
一起,1.7601359553289634E-4
但是,1.7601359553289634E-4
the,1.6994416120417577E-4
保险,1.6994416120417577E-4
学生,1.6994416120417577E-4
啊,1.6994416120417577E-4
有意,1.6994416120417577E-4
生活,1.6994416120417577E-4
餐厅,1.6994416120417577E-4
具体,1.6994416120417577E-4
于,1.638747268754552E-4
周围,1.638747268754552E-4
做,1.638747268754552E-4
最好,1.638747268754552E-4
发,1.638747268754552E-4
高,1.638747268754552E-4
forest,1.638747268754552E-4
