SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
55,0,5,-6.100998,-3.028509,-2.339568,-4.241111,-2.955293,-0.5743356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
56,0,20,-3.065489,-2.111624,-3.548455,-2.976871,-2.535693,-2.802354,-2.277872,-2.318084,-1.359145,-3.557396,-5.922613,-3.591397,-5.004624,-2.045323,-4.723995,-3.836874,-5.446107,-6.788996,-1.713031,-2.06917,-0.4870295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
57,0,4,-3.09185,-5.901545,-2.758988,-0.04575749,-0.035459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
58,0,8,-6.326181,-4.724152,-5.54058,-4.733876,-4.806429,-3.279153,-4.067292,-0.673827,-1.31578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
59,0,3,-5.688997,-4.478161,-1.962407,-0.3296421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
60,0,5,-4.366777,-6.398234,-0.2840522,-6.904176,-5.609839,-2.276571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
61,0,11,-5.313333,-0.3245111,-3.088767,-7.245153,-6.3942,-5.312318,-5.741721,-1.978777,-2.846885,-3.816025,-5.09868,-3.450374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
62,0,12,-5.073573,-1.430376,-3.039718,-2.988985,-5.961014,-2.120574,-0.4466268,-3.448622,-3.553669,-5.231197,-2.951823,-0.4466268,-0.4433197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
63,0,3,-5.637844,-5.091914,-3.452109,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
64,0,9,-6.258925,-1.973705,-6.474098,-1.517511,-4.578335,-1.196749,-4.900517,-6.153851,-0.8237057,-0.4979049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
65,0,5,-3.501123,-3.712229,-2.67105,-3.338382,-1.064543,-0.4500189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
66,0,4,-6.258925,-6.454992,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
