SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
36,0,10,-2.927257,-2.66483,-3.51589,-4.803493,-3.314769,-0.7121437,-5.118758,-3.946114,-2.495279,-2.286283,-0.4263434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
37,0,4,-6.258925,-5.256549,-5.802201,-1.201446,-0.350248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
38,0,5,-3.991114,-2.010462,-3.329865,-3.859911,-3.663987,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
39,0,5,-4.512905,-3.880569,-2.432956,-5.22387,-0.9764539,-0.4330394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
40,0,5,-4.512905,-3.880569,-2.432956,-5.22387,-0.9764539,-0.4330394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
41,0,3,-5.001022,-4.731617,-3.530439,-1.082441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
42,0,4,-6.527233,-4.018155,-1.782907,-2.268026,-1.266821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
43,0,3,-5.001022,-4.731617,-3.530439,-1.082441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
44,0,4,-6.527233,-4.018155,-1.782907,-2.268026,-1.266821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
45,0,5,-5.177113,-2.604747,-5.067413,-1.956649,-2.06917,-0.4870295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
46,0,17,-3.531389,-6.309214,-3.815936,-2.286637,-3.720104,-0.8302773,-2.77455,-1.467843,-0.5964561,-5.635262,-1.941651,-1.042933,-2.77951,-3.605005,-2.920441,-4.61603,-0.7031823,-0.4625835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
