SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfTranslationOfFirstCodeSwitchedWord,AverageSurprisalOfTranslationOfSwitchPointWords,AverageSurprisalOfTranslationOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
1690,5,4.4501978,5.969209,5.969209,5.7435205,2.1527896,cmucssa
1692,6,4.013451,7.393085,7.393085,7.393085,2.781270167,cmucssa
1693,7,3.347407429,4.551347,4.551347,3.6320145,2.309689,cmucssa
1694,9,3.860643533,5.022952,5.022952,2.9992494,3.194143667,cmucssa
1695,12,2.682308109,4.828659,4.4256935,4.4256935,1.944692526,cmucssa
1698,5,3.6069472,3.747647,3.747647,4.404500667,0.9642468,cmucssa
1699,10,2.72974028,3.334486,3.334486,3.429324,2.04387548,cmucssa
1702,3,3.539355667,4.512905,4.512905,4.512905,2.035054,cmucssa
1703,10,3.6931173,3.655953,3.439602,3.384265333,1.6625581,cmucssa
1705,11,3.552742191,3.197179,3.197179,3.197179,3.262089555,cmucssa
1707,25,3.270050232,2.603781,2.603781,3.3772005,2.999874192,cmucssa
1708,5,3.45864622,6.683893,6.683893,3.075758367,1.6131912,cmucssa
1712,5,5.157787,4.836212,4.836212,4.836212,4.1905446,cmucssa
1714,4,4.83622925,5.688997,5.688997,5.8454625,1.913498,cmucssa
1715,23,3.41367033,5.384851,5.384851,4.364378,3.0341592,cmucssa
1716,6,3.278341667,3.989332,3.989332,3.989332,2.613453,cmucssa
1717,13,2.750921,4.888851,4.888851,4.888851,2.374855538,cmucssa
1718,30,3.00495124,5.005751,5.005751,5.005751,2.838092873,cmucssa
1719,10,3.21048131,3.563109,3.563109,3.491058525,1.8140579,cmucssa
1720,13,3.449290308,6.025938,6.025938,6.025938,2.985756615,cmucssa
1723,9,4.125372289,5.890665,5.890665,5.7042485,2.857761511,cmucssa
1728,12,3.156070733,5.68331,5.68331,3.846307,2.515019567,cmucssa
1731,11,3.439247182,6.934647,6.934647,3.942619833,1.288727273,cmucssa
1733,14,3.500173007,3.563109,5.468263667,4.467652683,1.585464714,cmucssa
1734,9,4.041795044,6.258925,6.185035,4.514678333,2.536902267,cmucssa
1737,9,3.4005152,6.215405,6.215405,6.215405,2.709914644,cmucssa
1738,24,3.099086625,5.089428,5.1651835,3.730588,2.477321958,cmucssa
1739,14,3.609395214,6.264979,6.2520795,3.813239375,1.430401286,cmucssa
1740,12,3.507474342,3.820692,4.732858,4.732858,2.718664675,cmucssa
1747,32,3.1342731,5.793428,5.793428,5.668948,2.77996385,cmucssa
1748,32,3.1342731,5.793428,5.793428,5.668948,2.77996385,cmucssa
1749,7,4.707823,2.772477,4.523474,4.858710667,2.625518429,cmucssa
1750,32,3.1342731,5.793428,5.793428,5.668948,2.77996385,cmucssa
1751,12,3.411763875,4.340703,4.340703,4.340703,3.050038625,cmucssa
1752,9,3.617398333,3.563109,3.563109,4.366011333,2.162061222,cmucssa
1754,9,3.434850656,4.821919,4.619372,4.619372,2.408323544,cmucssa
1755,7,3.065645,4.319865,4.319865,4.090488333,1.312578571,cmucssa
1757,3,5.137327333,7.763662,7.763662,7.763662,2.54944,cmucssa
1758,3,4.545664,6.930725,6.930725,5.314788,1.002472,cmucssa
1761,6,4.022871233,5.550694,5.550694,5.550694,3.097755567,cmucssa
1763,15,3.635953933,4.826491,4.826491,3.0265225,3.2324176,cmucssa
1765,5,3.314484,7.042348,7.042348,4.401304,1.5539624,cmucssa
1766,20,3.76996006,6.91601,6.91601,6.0333845,3.16662161,cmucssa
1769,12,3.531525833,2.679652,3.299424,3.9141048,1.900648833,cmucssa
1772,17,3.159436559,4.512905,4.512905,4.014783,2.687109147,cmucssa
1775,6,3.668728983,5.512905,5.512905,4.981002,1.178227983,cmucssa
