SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
320,3,5.269841333333333,pittcssa
321,4,4.70282625,pittcssa
322,7,4.822438142857143,pittcssa
323,3,4.357605,pittcssa
324,4,4.53118075,pittcssa
325,5,3.39650172,pittcssa
326,4,3.9965585,pittcssa
327,8,4.347279025,pittcssa
328,4,3.257472025,pittcssa
329,3,5.28866,pittcssa
330,9,4.236655333333333,pittcssa
331,5,4.2421644,pittcssa
332,5,3.8538694,pittcssa
333,6,4.019151333333334,pittcssa
335,5,4.074912199999999,pittcssa
336,11,4.28827880909091,pittcssa
337,3,4.501851,pittcssa
338,7,3.609083385714286,pittcssa
339,7,3.9835091428571423,pittcssa
341,5,4.3183784,pittcssa
342,3,4.307715666666667,pittcssa
343,9,2.7821635555555555,pittcssa
344,5,3.66782126,pittcssa
346,7,3.620277185714286,pittcssa
347,4,3.58445125,pittcssa
348,5,4.8107754,pittcssa
349,5,4.066948599999999,pittcssa
350,4,4.17169575,pittcssa
351,3,4.043188333333334,pittcssa
353,12,2.9996614916666666,pittcssa
354,3,3.1220656666666664,pittcssa
355,3,2.5509622333333333,pittcssa
357,3,4.145495,pittcssa
358,14,3.1768002357142864,pittcssa
359,7,3.0859355714285712,pittcssa
360,5,3.8277381999999998,pittcssa
361,10,3.9256979999999997,pittcssa
362,14,3.757078785714285,pittcssa
363,3,4.145495,pittcssa
364,3,2.766401333333333,pittcssa
365,15,2.7965164933333333,pittcssa
366,3,4.031101333333333,pittcssa
367,7,2.957861571428571,pittcssa
368,14,2.5034943928571427,pittcssa
369,3,4.518830333333334,pittcssa
370,3,3.725534,pittcssa
371,3,4.985026,pittcssa
372,15,3.626555813333334,pittcssa
375,5,3.0062045999999993,pittcssa
376,4,4.22373375,pittcssa
377,7,3.8415520000000005,pittcssa
378,13,3.4947648307692303,pittcssa
379,22,3.7250968181818176,pittcssa
380,6,3.707513,pittcssa
381,6,4.331630333333334,pittcssa
382,10,3.5975430000000004,pittcssa
383,4,4.11058205,pittcssa
384,5,4.238715999999999,pittcssa
385,3,3.2282230999999997,pittcssa
386,6,4.1225144333333335,pittcssa
387,3,4.5895193333333335,pittcssa
388,4,3.9572799499999998,pittcssa
389,3,3.1717254333333336,pittcssa
390,5,4.0163063999999995,pittcssa
391,3,3.8096643333333327,pittcssa
394,5,3.3061239999999996,pittcssa
395,4,4.247954999999999,pittcssa
396,5,3.5969692,pittcssa
397,8,2.9450607625,pittcssa
398,5,4.6322412,pittcssa
400,16,3.0364094875,pittcssa
401,8,3.4584778,pittcssa
402,3,4.043188333333334,pittcssa
403,6,5.351616333333333,pittcssa
404,4,2.807270525,pittcssa
405,4,4.13484375,pittcssa
406,3,4.432084,pittcssa
407,4,4.2268995,pittcssa
408,6,4.1851245,pittcssa
409,4,4.6628317500000005,pittcssa
410,21,3.8178157000000006,pittcssa
411,15,3.4843864666666664,pittcssa
412,3,1.9906752333333335,pittcssa
414,6,2.7914048833333336,pittcssa
415,6,3.9420173333333337,pittcssa
416,21,3.6001930523809524,pittcssa
418,8,3.8975235625,pittcssa
421,4,5.30008225,pittcssa
422,11,3.911856618181818,pittcssa
423,4,3.9752615000000002,pittcssa
424,3,2.757953666666667,pittcssa
425,3,3.7062361666666668,pittcssa
426,4,4.393264,pittcssa
427,9,3.567348366666667,pittcssa
430,4,3.54447525,pittcssa
431,17,3.2272587294117647,pittcssa
432,4,3.2832848249999995,pittcssa
433,4,4.349482500000001,pittcssa
434,4,3.257472025,pittcssa
435,18,2.9704948722222224,pittcssa
436,3,3.335552,pittcssa
