SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
402,8,3.2821067499999996,3.283139,3.283139,2.8463853333333327,2.21471225,psucssa
403,14,3.2396205428571427,1.664642,3.0113619999999997,2.64111972,2.2963635000000004,psucssa
405,11,3.136586381818182,7.393037,7.393037,3.4794863999999994,2.1876355454545457,psucssa
406,11,3.3845055000000004,4.880142,4.880142,3.366639,2.7723893181818187,psucssa
407,21,3.6049465714285716,3.662948,4.1516424999999995,3.5544002857142862,2.420146476190476,psucssa
408,17,3.5561911352941173,4.039402,4.039402,3.930611,3.093766311764706,psucssa
409,3,5.247341,4.728459,4.728459,4.607395,2.1757443333333333,psucssa
410,3,5.237280999999999,5.413785,5.413785,5.132942,1.8153196666666667,psucssa
412,6,4.066014833333334,7.15048,7.15048,5.709149,2.162965166666667,psucssa
413,11,3.587419636363637,6.326181,6.326181,4.379357,2.791172909090909,psucssa
415,4,4.6569805,4.932557,4.932557,3.8344435,2.73975875,psucssa
416,9,3.7079022222222218,4.778432,4.778432,4.583708,2.689300444444444,psucssa
417,8,4.069446125,6.038308,6.038308,5.5590554999999995,2.6796822500000004,psucssa
418,21,3.318960080952381,5.673541,5.673541,4.5433225,2.8862627,psucssa
419,24,3.6696459708333315,5.060607,5.060607,4.5112635,3.293707345833333,psucssa
420,4,3.2317460000000002,5.550694,5.550694,5.550694,1.8440725,psucssa
421,9,4.613255777777778,3.918144,4.822642,5.07729825,2.356678777777778,psucssa
422,8,3.6963645,4.117116,4.117116,4.117116,3.1817249999999997,psucssa
