SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
103,11,4.138502727272727,5.616393,6.414239500000001,4.8450448,1.936209636363636,psucssa
104,11,4.138502727272727,5.616393,6.414239500000001,4.8450448,1.936209636363636,psucssa
105,3,4.4135773333333335,5.512905,5.512905,5.512905,2.5759423333333333,psucssa
106,6,5.0589683333333335,6.583177,6.583177,6.583177,3.9617721666666674,psucssa
109,15,3.7232847533333335,7.835846,7.835846,7.835846,3.20089502,psucssa
110,8,4.40777525,4.769732,4.769732,3.92448075,2.445534875,psucssa
111,20,2.6246305815,5.779892,5.779892,2.886694,2.1916264814999997,psucssa
112,3,4.388361,5.469526,5.469526,5.075359000000001,1.0047883333333334,psucssa
113,13,3.3629803461538463,2.585954,2.585954,2.9909116,2.2126297307692306,psucssa
114,17,2.449350642941176,4.724356,4.6615275,3.1682010000000003,1.5175268194117648,psucssa
117,24,3.3101881958333332,4.652567,4.652567,5.810697,2.825963445833333,psucssa
118,24,3.3101881958333332,4.652567,4.652567,5.810697,2.825963445833333,psucssa
119,13,3.248925430769231,4.583487,4.583487,4.519963499999999,2.5535464307692304,psucssa
121,16,3.69349075625,4.778935,3.710318,4.793098,2.79478488125,psucssa
122,18,3.4967464888888884,3.991114,3.991114,2.993971,2.9977513222222223,psucssa
123,6,3.75136785,5.027526,5.027526,5.0293395,2.0749213500000003,psucssa
125,21,2.971988009523809,6.175722,5.3322020000000006,3.0460662000000003,2.3917849238095235,psucssa
130,11,3.9173701818181823,4.776823,4.776823,4.776823,3.483113545454546,psucssa
131,14,4.051708407142857,4.437226,4.873438,4.235418220000001,2.5390590428571427,psucssa
132,17,3.8430747647058827,6.027914,6.027914,6.190803333333332,2.7505800588235285,psucssa
133,15,3.260204713333333,5.305063,5.305063,4.052503,2.7198709800000005,psucssa
134,5,4.7992884,7.253771,7.253771,4.843152,2.8620276,psucssa
138,19,3.6510201052631572,4.652567,4.652567,5.810697,3.039367789473684,psucssa
140,4,4.6236904999999995,4.652567,4.652567,5.810697,1.718342,psucssa
141,21,2.971988009523809,6.175722,5.3322020000000006,3.0460662000000003,2.3917849238095235,psucssa
142,21,2.971988009523809,6.175722,5.3322020000000006,3.0460662000000003,2.3917849238095235,psucssa
143,10,2.980402506,5.637844,5.637844,2.26882952,2.29975365,psucssa
146,14,3.5514205214285717,5.886802,4.945716,3.7147923333333335,2.755393592857143,psucssa
